title,beds_baths,pricing,address,zip_code,url,scraped_at
"SF House 229 Ellis St, San Francisco, CA 94102",2 Beds,"$2,400+","229 Ellis St, San Francisco, CA 94102",94102,https://www.apartments.com/sf-house-san-francisco-ca/tt0xekb/,2026-04-12 05:42:01 UTC
"Yerba Buena Commons 88 Perry St, San Francisco, CA 94107",Studio,"$1,567","88 Perry St, San Francisco, CA 94107",94107,https://www.apartments.com/yerba-buena-commons-san-francisco-ca/rc2vtt3/,2026-04-12 05:42:04 UTC
"Juniper 15 Poncetta Dr, Daly City, CA 94015",Studio,"$2,221+","15 Poncetta Dr, Daly City, CA 94015",94015,https://www.apartments.com/juniper-daly-city-ca/461e70k/,2026-04-12 05:42:07 UTC
"Juniper 15 Poncetta Dr, Daly City, CA 94015",1 Bed,"$2,326+","15 Poncetta Dr, Daly City, CA 94015",94015,https://www.apartments.com/juniper-daly-city-ca/461e70k/,2026-04-12 05:42:07 UTC
"Juniper 15 Poncetta Dr, Daly City, CA 94015",2 Beds,"$3,891+","15 Poncetta Dr, Daly City, CA 94015",94015,https://www.apartments.com/juniper-daly-city-ca/461e70k/,2026-04-12 05:42:07 UTC
"1408 31st Ave 1408 31st Ave, San Francisco, CA 94122",1 Bed,"$1,465","1408 31st Ave, San Francisco, CA 94122",94122,https://www.apartments.com/1408-31st-ave-san-francisco-ca/ztcd7sw/,2026-04-12 05:42:11 UTC
"455 Marina Blvd 455 Marina Blvd, San Francisco, CA 94123",1 Bed,"$1,800","455 Marina Blvd, San Francisco, CA 94123",94123,https://www.apartments.com/455-marina-blvd-san-francisco-ca/ljzlvxd/,2026-04-12 05:42:14 UTC
"899 Pine St Unit SI FL17-ID5 899 Pine St, San Francisco, CA 94108",Studio,"$4,500","899 Pine St, San Francisco, CA 94108",94108,https://www.apartments.com/899-pine-st-san-francisco-ca-unit-si-fl17-id5/j6xxq07/,2026-04-12 05:42:17 UTC
"900 Folsom St Unit GO FL3-ID1452 900 Folsom St, San Francisco, CA 94107",2 Beds,"$4,890","900 Folsom St, San Francisco, CA 94107",94107,https://www.apartments.com/900-folsom-st-san-francisco-ca-unit-go-fl3-id1452/pqg4xbr/,2026-04-12 05:42:20 UTC
"1395 22nd St Unit GO FL7-ID2098 1395 22nd St, San Francisco, CA 94107",1 Bed,"$5,520","1395 22nd St, San Francisco, CA 94107",94107,https://www.apartments.com/1395-22nd-st-san-francisco-ca-unit-go-fl7-id2098/dpb6c3j/,2026-04-12 05:42:23 UTC
"1288 Howard St Unit GO FL4-ID2123 1288 Howard St, San Francisco, CA 94103",2 Beds,"$5,150","1288 Howard St, San Francisco, CA 94103",94103,https://www.apartments.com/1288-howard-st-san-francisco-ca-unit-go-fl4-id2123/rd3b242/,2026-04-12 05:42:26 UTC
Marina Court Apartments San Francisco Ca,Studio,"$4,695","3445-3455 Pierce St, San Francisco, CA 94123",94123,https://www.apartments.com/marina-court-apartments-san-francisco-ca/mv4zmsj/,2026-04-12 05:54:49 UTC
Modera Rincon Hill San Francisco Ca,Studio,"$4,213+","390 1st St, San Francisco, CA 94105",94105,https://www.apartments.com/modera-rincon-hill-san-francisco-ca/b821swb/,2026-04-12 05:54:52 UTC
Modera Rincon Hill San Francisco Ca,1 Bed,"$4,579+","390 1st St, San Francisco, CA 94105",94105,https://www.apartments.com/modera-rincon-hill-san-francisco-ca/b821swb/,2026-04-12 05:54:52 UTC
Modera Rincon Hill San Francisco Ca,2 Beds,"$5,994+","390 1st St, San Francisco, CA 94105",94105,https://www.apartments.com/modera-rincon-hill-san-francisco-ca/b821swb/,2026-04-12 05:54:52 UTC
Marina Pierce Apartments San Francisco Ca,Studio,"$4,395","3330 Pierce St, San Francisco, CA 94123",94123,https://www.apartments.com/marina-pierce-apartments-san-francisco-ca/mmpe05j/,2026-04-12 05:54:55 UTC
290 Alhambra Street Apartments San Francisco Ca,1 Bed,"$4,300","290 Alhambra St, San Francisco, CA 94123",94123,https://www.apartments.com/290-alhambra-street-apartments-san-francisco-ca/0k00831/,2026-04-12 05:54:56 UTC
The Franciscan Apartments San Francisco Ca,Studio,"$3,295","2290 Francisco St, San Francisco, CA 94123",94123,https://www.apartments.com/the-franciscan-apartments-san-francisco-ca/q64ex4y/,2026-04-12 05:54:59 UTC
3345 Fillmore Street Apartments San Francisco Ca,1 Bed,"$3,150","3345 Fillmore St, San Francisco, CA 94123",94123,https://www.apartments.com/3345-fillmore-street-apartments-san-francisco-ca/d4eqxbh/,2026-04-12 05:55:02 UTC
3345 Fillmore Street Apartments San Francisco Ca,2 Beds,"$3,950+","3345 Fillmore St, San Francisco, CA 94123",94123,https://www.apartments.com/3345-fillmore-street-apartments-san-francisco-ca/d4eqxbh/,2026-04-12 05:55:02 UTC
Union Hyde Apartments San Francisco Ca,1 Bed,"$2,795","1954-1964 Hyde St, San Francisco, CA 94109",94109,https://www.apartments.com/union-hyde-apartments-san-francisco-ca/505ej2m/,2026-04-12 05:55:05 UTC
2874 16Th St San Francisco Ca,2 Beds,"$5,500","2874 16th St, San Francisco, CA 94103",94103,https://www.apartments.com/2874-16th-st-san-francisco-ca/5mw7hsn/,2026-04-12 05:55:08 UTC
2140 Pacific Avenue San Francisco Ca,2 Beds,"$8,950","2140 Pacific Ave, San Francisco, CA 94115",94115,https://www.apartments.com/2140-pacific-avenue-san-francisco-ca/ys99yft/,2026-04-12 05:55:11 UTC
4Th Avenue Apartments San Francisco Ca,1 Bed,"$3,950","590 4th Ave, San Francisco, CA 94118",94118,https://www.apartments.com/4th-avenue-apartments-san-francisco-ca/veh2dtd/,2026-04-12 05:55:17 UTC
4Th Avenue Apartments San Francisco Ca,2 Beds,"$3,950","590 4th Ave, San Francisco, CA 94118",94118,https://www.apartments.com/4th-avenue-apartments-san-francisco-ca/veh2dtd/,2026-04-12 05:55:17 UTC
555 Florida St San Francisco Ca,1 Bed,"$5,299+","555 Florida St, San Francisco, CA 94110",94110,https://www.apartments.com/555-florida-st-san-francisco-ca/rwlsdm1/,2026-04-12 05:55:20 UTC
1826 Broderick San Francisco Ca,2 Beds,"$5,199+","1826 Broderick St, San Francisco, CA 94115",94115,https://www.apartments.com/1826-broderick-san-francisco-ca/59e7yym/,2026-04-12 05:55:24 UTC
"1475 Hawes St, San Francisco, CA 94124",3 Beds,"$5,295","1475 Hawes St, San Francisco, CA 94124",94124,https://www.apartments.com/1475-hawes-st-san-francisco-ca-unit-b/835zel0/,2026-04-12 05:57:51 UTC
"140 S Van Ness Ave, San Francisco, CA 94103",1 Bed,"$2,000","140 S Van Ness Ave, San Francisco, CA 94103",94103,https://www.apartments.com/140-s-van-ness-ave-san-francisco-ca-unit-77/e17zx6m/,2026-04-12 05:57:58 UTC
"46 Calgary St, San Francisco, CA 94134",2 Beds,"$3,300","46 Calgary St, San Francisco, CA 94134",94134,https://www.apartments.com/46-calgary-st-san-francisco-ca/r8gckt0/,2026-04-12 05:58:04 UTC
"100 Van Ness Ave, San Francisco, CA 94102",2 Beds,"$9,280","100 Van Ness Ave, San Francisco, CA 94102",94102,https://www.apartments.com/100-van-ness-ave-san-francisco-ca-unit-si-fl18-id1477/vwyen5d/,2026-04-12 05:58:07 UTC
"175 Bluxome St, San Francisco, CA 94107",2 Beds,"$4,900","175 Bluxome St, San Francisco, CA 94107",94107,https://www.apartments.com/175-bluxome-st-san-francisco-ca/03s4kn3/,2026-04-12 05:58:13 UTC
"18 10th St, San Francisco, CA 94103",Studio,"$4,091","18 10th St, San Francisco, CA 94103",94103,https://www.apartments.com/18-10th-st-san-francisco-ca-unit-si-fl8-id278475p/05bksp3/,2026-04-12 05:58:19 UTC
"8 10th St, San Francisco, CA 94103",Studio,"$4,187","8 10th St, San Francisco, CA 94103",94103,https://www.apartments.com/8-10th-st-san-francisco-ca-unit-si-fl11-id372388p/sf6jkk4/,2026-04-12 05:58:25 UTC
"8 10th St, San Francisco, CA 94103",Studio,"$4,227","8 10th St, San Francisco, CA 94103",94103,https://www.apartments.com/8-10th-st-san-francisco-ca-unit-si-fl7-id372389p/9ch1q67/,2026-04-12 05:58:31 UTC
"680 Mission St, San Francisco, CA 94105",1 Bed,"$7,896","680 Mission St, San Francisco, CA 94105",94105,https://www.apartments.com/680-mission-st-san-francisco-ca-unit-si-id1039963p/1exmwv4/,2026-04-12 05:58:41 UTC
"1236 Utah St, San Francisco, CA 94110",3 Beds,"$1,200","1236 Utah St, San Francisco, CA 94110",94110,https://www.apartments.com/1236-utah-st-san-francisco-ca/6rprt3r/,2026-04-12 05:58:47 UTC
"3764 20th St, San Francisco, CA 94110",1 Bed,"$4,000","3764 20th St, San Francisco, CA 94110",94110,https://www.apartments.com/3764-20th-st-san-francisco-ca-unit-3764-20th-st/w41l8gj/,2026-04-12 05:58:56 UTC
