title,pricing,beds_baths,address,amenities,url,scraped_at
"Private Balconies in Select Homes, Near Powell Street BART Station",$0,,lower nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-private-balconies-in/7927111316.html,2026-04-12 05:22:44 UTC
"Generous Closet Space, Professional Onsite Management",$0,,castro / upper market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-generous-closet-space/7927111144.html,2026-04-12 05:22:44 UTC
"Fitness Center, Light, Open Floor Plans, Laundry Facilities, Patio",$0,,marina / cow hollow,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fitness-center-light-open/7927109817.html,2026-04-12 05:22:44 UTC
2038 Divisadero #301 - Stunning 2x1 -Lovely Area -Top Floor -Near Park,"$5,360",,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2038-divisadero-stunning/7927109778.html,2026-04-12 05:22:44 UTC
You'll fall in LOVE with the VIEW! Rent Today! Convenient Location!,$0,,russian hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-youll-fall-in-love-with/7927109708.html,2026-04-12 05:22:44 UTC
Cozy Nob Hill Studio with Kitchenette – Prime Location Near Union Squa,"$1,595",,nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-nob-hill-studio-with/7927099852.html,2026-04-12 05:22:44 UTC
Bright & Remodeled 3BR Apartment in Prime Russian Hill Location,"$7,495",,russian hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-remodeled-3br/7927104570.html,2026-04-12 05:22:44 UTC
Style 1Bedroom\1Bathroom Flat in Inner Mission!!,"$1,569",,"San Francisco, CA",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-style-1bedroom1bathroom/7927099853.html,2026-04-12 05:22:44 UTC
Big Beautiful Bright Spaciou 7BR 4.5BA Next to USF,"$15,800",,USF / panhandle,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-big-beautiful-bright/7927097840.html,2026-04-12 05:22:44 UTC
5-Minute walk to famed restaurants and bars!,"$1,095",,tenderloin,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-minute-walk-to-famed/7926540183.html,2026-04-12 05:22:44 UTC
Restored and Renovated! Enjoy Polk Street's charm & a 99 Walk Score!,"$2,645",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-restored-and-renovated/7926540174.html,2026-04-12 05:22:44 UTC
Gorgeous Studio Unit near Union Square!,"$2,745",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-studio-unit-near/7926540170.html,2026-04-12 05:22:44 UTC
Nob Hill Gem – Seconds to Trader Joe’s & Local Hotspots!,"$1,645",,nob hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-gem-seconds-to/7926540178.html,2026-04-12 05:22:44 UTC
Charming 2-BR Unit just Steps away from Sutter Fine Foods!,"$4,495",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-br-unit-just/7925803558.html,2026-04-12 05:22:44 UTC
