title,pricing,beds_baths,address,amenities,url,scraped_at
"Soma at 788 788 Harrison St, San Francisco, CA 94107",Studio - 2 Beds Call for Rent,Studio - 2 Beds Call for Rent,"788 Harrison St, San Francisco, CA 94107",Pets Allowed Fitness Center Dishwasher Refrigerator Kitchen In Unit Washer & Dryer Walk-In Closets,https://www.apartments.com/soma-at-788-san-francisco-ca/45g8mtk/,
"The Presidio Residences 222 Halleck St, San Francisco, CA 94129","1 Bed $3,900+ 2 Beds $5,000+ 3 Beds+ $4,725+","1 Bed $3,900+","222 Halleck St, San Francisco, CA 94129",Pets Allowed Dishwasher Kitchen Range Heat Oven Tub / Shower,https://www.apartments.com/the-presidio-residences-san-francisco-ca/n3sbxgq/,
"The Cornelia Suites 641 O'Farrell St, San Francisco, CA 94109","Studio $1,600+","Studio $1,600+","641 O'Farrell St, San Francisco, CA 94109",Pets Allowed Refrigerator Kitchen Microwave Controlled Access Hardwood Floors Elevator,https://www.apartments.com/the-cornelia-suites-san-francisco-ca/9zsv587/,
"Pacific Place Apartments 2665 Geneva Ave, Daly City, CA 94014","2 Beds $3,593+","2 Beds $3,593+","2665 Geneva Ave, Daly City, CA 94014",Fitness Center Dishwasher In Unit Washer & Dryer Walk-In Closets Range Disposal Microwave,https://www.apartments.com/pacific-place-apartments-daly-city-ca/mb68hdl/,
"The Paramount 680 Mission St, San Francisco, CA 94105","Studio $3,795+ 1 Bed $4,725+","Studio $3,795+","680 Mission St, San Francisco, CA 94105",,https://www.apartments.com/the-paramount-san-francisco-ca/6gy8r5r/,
"Alchemy 200 Buchanan St, San Francisco, CA 94102","1 Bed $4,519+ 2 Beds $6,684+","1 Bed $4,519+","200 Buchanan St, San Francisco, CA 94102",,https://www.apartments.com/alchemy-san-francisco-ca/e65245m/,
"Ventana Residences 99 Ocean Ave, San Francisco, CA 94112","1 Bed $3,575 2 Beds $4,350+","1 Bed $3,575","99 Ocean Ave, San Francisco, CA 94112",,https://www.apartments.com/ventana-residences-san-francisco-ca/gyzs6ey/,
"Towers at Rincon 88 Howard St, San Francisco, CA 94105","1 Bed $4,340+","1 Bed $4,340+","88 Howard St, San Francisco, CA 94105",,https://www.apartments.com/towers-at-rincon-san-francisco-ca/nc2sytq/,
"Mason on Mariposa 1601 Mariposa St, San Francisco, CA 94107","Studio $3,900+","Studio $3,900+","1601 Mariposa St, San Francisco, CA 94107",,https://www.apartments.com/mason-on-mariposa-san-francisco-ca/b1rlv7c/,
"Avery 450 450 Folsom St, San Francisco, CA 94105","Studio $4,725+ 2 Beds $8,995","Studio $4,725+","450 Folsom St, San Francisco, CA 94105",,https://www.apartments.com/avery-450-san-francisco-ca/d1150rk/,
"Fifteen Fifty 1550 Mission St, San Francisco, CA 94103","1 Bed $5,395+ 2 Beds $6,495+ 3 Beds $15,995","1 Bed $5,395+","1550 Mission St, San Francisco, CA 94103",,https://www.apartments.com/fifteen-fifty-san-francisco-ca/52sddxp/,
"Vance 830 Eddy St, San Francisco, CA 94109","Studio $3,258+ 1 Bed $5,909+ 2 Beds $5,558+","Studio $3,258+","830 Eddy St, San Francisco, CA 94109",,https://www.apartments.com/vance-san-francisco-ca/fzw832s/,
"Soma Residences 1045 Mission St, San Francisco, CA 94103","Studio $2,274+ 1 Bed $2,527+","Studio $2,274+","1045 Mission St, San Francisco, CA 94103",,https://www.apartments.com/soma-residences-san-francisco-ca/f96bywv/,
"The Sophie Maxwell Building 1212 Maryland St, San Francisco, CA 94107","Studio $2,183+ 1 Bed $3,429 2 Beds $2,183+","Studio $2,183+","1212 Maryland St, San Francisco, CA 94107",,https://www.apartments.com/the-sophie-maxwell-building-san-francisco-ca/ge7m3jy/,
"Mission Rock 365 Toni Stone Xing, San Francisco, CA 94158","Studio $4,200 1 Bed $5,700+ 2 Beds $6,275+","Studio $4,200","365 Toni Stone Xing, San Francisco, CA 94158",,https://www.apartments.com/mission-rock-san-francisco-ca/pthneyv/,
"38 Dolores 38 Dolores St, San Francisco, CA 94103","3 Beds $10,002","3 Beds $10,002","38 Dolores St, San Francisco, CA 94103",,https://www.apartments.com/38-dolores-san-francisco-ca/s1swjl7/,
"777 Tenn 777 Tennessee St, San Francisco, CA 94107",Studio - 3 Beds Call for Rent,Studio - 3 Beds Call for Rent,"777 Tennessee St, San Francisco, CA 94107",,https://www.apartments.com/777-tenn-san-francisco-ca/ek5klnn/,
"Bayside Village 3 Bayside Village Pl, San Francisco, CA 94107","Studio $3,539+ 1 Bed $4,086+ 2 Beds $5,552+","Studio $3,539+","3 Bayside Village Pl, San Francisco, CA 94107",,https://www.apartments.com/bayside-village-san-francisco-ca/1rerqb5/,
"Waterbend 5880 3rd St, San Francisco, CA 94124","1 Bed $3,017+ 2 Beds $4,085+","1 Bed $3,017+","5880 3rd St, San Francisco, CA 94124",,https://www.apartments.com/waterbend-san-francisco-ca/l7w7epd/,
"The Brady 1 Brady St, San Francisco, CA 94103","Studio $3,326+ 1 Bed $3,859+ 2 Beds $4,912+","Studio $3,326+","1 Brady St, San Francisco, CA 94103",,https://www.apartments.com/the-brady-san-francisco-ca/5eer1xp/,
"Warrington Apartments 775 Post St, San Francisco, CA 94109","Studio $2,500","Studio $2,500","775 Post St, San Francisco, CA 94109",,https://www.apartments.com/warrington-apartments-san-francisco-ca/14znvw5/,
"1825 Mission 1825 Mission St, San Francisco, CA 94103",Studio Call for Rent,Studio Call for Rent,"1825 Mission St, San Francisco, CA 94103",,https://www.apartments.com/1825-mission-san-francisco-ca/j6qykd4/,
"50 Jones 50 Jones St, San Francisco, CA 94102","Studio $2,595+ 1 Bed $2,854+ 2 Beds $3,582+","Studio $2,595+","50 Jones St, San Francisco, CA 94102",,https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,
"Astella 955-975 Bryant St, San Francisco, CA 94103","Studio $3,606+ 1 Bed $3,912+ 2 Beds+ $5,371+","Studio $3,606+","955-975 Bryant St, San Francisco, CA 94103",,https://www.apartments.com/astella-san-francisco-ca/2bevhs9/,
"1030 Post Street Apartments 1030 Post St, San Francisco, CA 94109","1 Bed $1,795","1 Bed $1,795","1030 Post St, San Francisco, CA 94109",,https://www.apartments.com/1030-post-street-apartments-san-francisco-ca/4g953pj/,
"272 Clara St Unit PL FL2-ID455 272 Clara St, San Francisco, CA 94107","1 Bed $4,980","1 Bed $4,980","272 Clara St, San Francisco, CA 94107",,https://www.apartments.com/272-clara-st-san-francisco-ca-unit-pl-fl2-id455/7ldx8rx/,
"2 Townsend St Unit PL FL2-ID28 2 Townsend St, San Francisco, CA 94107","1 Bed $4,800","1 Bed $4,800","2 Townsend St, San Francisco, CA 94107",,https://www.apartments.com/2-townsend-st-san-francisco-ca-unit-pl-fl2-id28/vsstt2g/,
"FOUND Study Nob Hill - Student/Intern 851 California St, San Francisco, CA 94108","1 Bed $1,100+","1 Bed $1,100+","851 California St, San Francisco, CA 94108",,https://www.apartments.com/found-study-nob-hill-student-intern-san-francisco-ca/f2dbfxs/,
"2175 Market 2175 Market St, San Francisco, CA 94114","1 Bed $4,471+","1 Bed $4,471+","2175 Market St, San Francisco, CA 94114",,https://www.apartments.com/2175-market-san-francisco-ca/8kg00w2/,
"Mt. Sutro Apartments 480 Warren Dr, San Francisco, CA 94131","1 Bed $2,995+","1 Bed $2,995+","480 Warren Dr, San Francisco, CA 94131",,https://www.apartments.com/mt-sutro-apartments-san-francisco-ca/5kenhpm/,
"2120 Pacific Ave 2120 Pacific Ave, San Francisco, CA 94115","Studio $2,250+","Studio $2,250+","2120 Pacific Ave, San Francisco, CA 94115",,https://www.apartments.com/2120-pacific-ave-san-francisco-ca/46mqcrl/,
"570 Hayes Street Apartments 570 Hayes St, San Francisco, CA 94102","3 Beds $4,900","3 Beds $4,900","570 Hayes St, San Francisco, CA 94102",,https://www.apartments.com/570-hayes-street-apartments-san-francisco-ca/nf7yfpp/,
"280 Fell Street Apartments 280 Fell St, San Francisco, CA 94102","1 Bed $3,300+","1 Bed $3,300+","280 Fell St, San Francisco, CA 94102",,https://www.apartments.com/280-fell-street-apartments-san-francisco-ca/bgygb0c/,
"Highpoint Terrace 1888 Geneva Ave, San Francisco, CA 94134","2 Beds $3,700","2 Beds $3,700","1888 Geneva Ave, San Francisco, CA 94134",,https://www.apartments.com/highpoint-terrace-san-francisco-ca/g05zshw/,
"Kirkham Heights Apartments 1530-1580 5th Ave, San Francisco, CA 94122","1 Bed $3,000","1 Bed $3,000","1530-1580 5th Ave, San Francisco, CA 94122",,https://www.apartments.com/kirkham-heights-apartments-san-francisco-ca/9shmql5/,
